song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
I Couldn't Say No,Robert Ellis Orral With Carlene Carter,32,32,12,12
Never Give Up,Sammy Hagar,46,46,8,8
Wind Beneath My Wings,Lou Rawls,65,65,6,6
I Won't Be Home Tonight,Tony Carey,79,79,7,7
The One Thing,INXS,30,30,14,14
Rio,Duran Duran,14,14,13,13
Flashdance...What A Feeling,Irene Cara,1,1,25,25
Gimme All Your Lovin,ZZ Top,37,37,12,12
Try Again,Champaign,23,23,20,20
I Melt With You,Modern English,78,78,7,7
Love's Got A Line On You,Scandal Featuring Patty Smyth,59,59,13,13
Wind Him Up,Saga,64,64,8,8
New Year's Day,U2,53,53,12,12
Overkill,Men at Work,3,3,16,16
My Love,Lionel Richie,5,5,16,16
Sing Me Away,Night Ranger,54,54,9,9
Fool Moon Fire,Walter Egan,46,46,10,10
She's A Beauty,The Tubes,10,10,20,20
Reap The Wild Wind,Ultravox,71,71,5,5
Count On Me,Gerard McMahon,85,85,3,3
Affair Of The Heart,Rick Springfield,9,9,18,18
Faithfully,Journey,12,12,16,16
Time (Clock Of The Heart),Culture Club,2,2,18,18
I Eat Cannibals,Total Coelo,66,66,6,6
Why Me?,Planet P,64,64,9,9
Cool Places,Sparks & Jane Wiedlin,49,49,12,12
Love On My Mind Tonight,The Temptations,88,88,3,3
Electric Avenue,Eddy Grant,2,2,22,22
Never Gonna Let You Go,Sergio Mendes,4,4,23,23
Looking For A Stranger,Pat Benatar,39,39,10,10
You Can't Run From Love,Eddie Rabbitt,55,55,8,8
Easy For You To Say,Linda Ronstadt,54,54,10,10
Too Shy,Kajagoogoo,5,5,19,19
All This Love,Debarge,17,17,19,19
Front Page Story,Neil Diamond,65,65,8,8
Do You Wanna Hold Me?,Bow Wow Wow,77,77,4,4
The Devil Made Me Do It,Golden Earring,79,79,4,4
Don't Let It End,Styx,6,6,16,16
Family Man,Daryl Hall  John Oates,6,6,16,16
All My Life,Kenny Rogers,37,37,11,11
That's Love,Jim Capaldi,28,28,13,13
Don't Pay The Ferryman,Chris de Burgh,34,34,14,14
Love On Your Side,Thompson Twins,45,45,9,9
Tonight,The Whispers,84,84,4,4
"Where Everybody Knows Your Name (The Theme From ""Cheers"")",Gary Portnoy,83,83,4,4
Ricky,"""Weird Al"" Yankovic",63,63,8,8
I'm Still Standing,Elton John,12,12,16,16
No Time For Talk,Christopher Cross,33,33,10,10
We Two,Little River Band,22,22,12,12
Our House,Madness,7,7,19,19
Bang The Drum All Day,Todd Rundgren,63,63,5,5
Sign Of The Times,The Belle Stars,75,75,4,4
The Walls Came Down,The Call,74,74,5,5
Candy Girl,New Edition,46,46,11,11
The Closer You Get,Alabama,38,38,11,11
Come Dancing,The Kinks,6,6,17,17
Inside Love (so Personal),George Benson,43,43,10,10
How Do You Keep The Music Playing,James Ingram And Patti Austin,45,45,17,17
Side By Side,"Earth, Wind & Fire",76,76,4,4
Wishing (If I Had A Photograph Of You),A Flock Of Seagulls,26,26,14,14
When I'm With You,Sheriff,61,61,7,7
I Cannot Believe It's True,Phil Collins,79,79,4,4
What You Do To Me,Carl Wilson,72,72,6,6
Sweet Dreams (Are Made Of This),Eurythmics,1,1,26,26
Slipping Away,Dave Edmunds,39,39,15,15
Fools Game,Michael Bolton,82,82,3,3
The Woman In You,Bee Gees,24,24,11,11
White Wedding,Billy Idol,36,36,13,13
Theme From Doctor Detroit,Devo,59,59,6,6
The Salt In My Tears,Martin Briley,36,36,15,15
Save The Overtime (For Me),Gladys Knight And The Pips,66,66,10,10
Whatever Happened To Old Fashioned Love,B.J. Thomas,93,93,2,2
He's A Pretender,High Inergy,82,82,5,5
Wanna Be Startin' Somethin',Michael Jackson,5,5,15,15
Baby Jane,Rod Stewart,14,14,14,14
Roll Me Away,Bob Seger & The Silver Bullet Band,27,27,10,10
She Works Hard For The Money,Donna Summer,3,3,21,21
(Keep Feeling) Fascination,The Human League,8,8,20,20
I.o.u.,Lee Greenwood,53,53,11,11
Saved By Zero,The Fixx,20,20,16,16
The Metro,Berlin,58,58,10,10
The Celtic Soul Brothers,Dexys Midnight Runners,86,86,4,4
Dancing In The Shadows,After The Fire,85,85,3,3
Drop The Pilot,Joan Armatrading,78,78,6,6
Every Breath You Take,The Police,1,1,22,22
Is There Something I Should Know,Duran Duran,4,4,17,17
Stand Back,Stevie Nicks,5,5,19,19
China Girl,David Bowie,10,10,18,18
Love Never Fails,Greg Kihn Band,59,59,6,6
Stop In The Name Of Love,The Hollies,29,29,12,12
Maniac,Michael Sembello,1,1,22,22
Love Is The Key,Maze Featuring Frankie Beverly,80,80,5,5
China,Red Rockers,53,53,10,10
Fade Away,Loz Netto,82,82,6,6
Keep It Confidential,Nona Hendryx,91,91,3,3
Hot Girls In Love,Loverboy,11,11,16,16
Cuts Like A Knife,Bryan Adams,15,15,14,14
Rock Of Ages,Def Leppard,16,16,15,15
Solid Rock,Goanna,71,71,7,7
Space Age Whiz Kids,Joe Walsh,52,52,8,8
Take Me To Heart,Quarterflash,14,14,16,16
Midnight Blue,Louise Tucker,46,46,13,13
Europa And The Pirate Twins,Thomas Dolby,67,67,5,5
The Border,America,33,33,12,12
Don't Make Me Do It,Patrick Simmons,75,75,5,5
Boogie Down,Jarreau,77,77,6,6
You Are In My System,Robert Palmer,78,78,6,6
Never Tell An Angel (When Your Heart's On Fire),The Stompers,88,88,4,4
Hold Me 'til The Mornin' Comes,Paul Anka,40,40,16,16
Juicy Fruit,Mtume,45,45,12,12
Stand By,Roman Holliday,54,54,9,9
Rock 'n' Roll Is King,Electric Light Orchestra,19,19,13,13
War Games,"Crosby, Stills & Nash",45,45,9,9
Pieces Of Ice,Diana Ross,31,31,10,10
Puttin' On The Ritz,Taco,4,4,21,21
It's Inevitable,Charlie,38,38,11,11
The Safety Dance,Men Without Hats,3,3,23,23
Dead Giveaway,Shalamar,22,22,20,20
It's A Mistake,Men at Work,6,6,15,15
I'll Tumble 4 Ya,Culture Club,9,9,16,16
All Time High,Rita Coolidge,36,36,13,13
Blame It On Love,Smokey Robinson & Barbara Mitchell,48,48,12,12
Ewok Celebration,Meco,60,60,8,8
How Am I Supposed To Live Without You,Laura Branigan,12,12,20,20
Do You Compute?,Donnie Iris,64,64,7,7
Shy Boy (Don't It Make You Feel Good),Bananarama,83,83,4,4
Waiting For Your Love,Toto,73,73,6,6
West Coast Summer Nights,Tony Carey,64,64,9,9
Night Pulse,Double Image,92,92,3,3
Lawyers In Love,Jackson Browne,13,13,15,15
After The Fall,Journey,23,23,12,12
Fake Friends,Joan Jett & The Blackhearts,35,35,10,10
Human Touch,Rick Springfield,18,18,15,15
Who's Behind The Door?,Zebra,61,61,8,8
"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,16,16,21,21
Johnny B. Goode,Peter Tosh,84,84,4,4
"Promises, Promises",Naked Eyes,11,11,20,20
Total Eclipse Of The Heart,Bonnie Tyler,1,1,20,20
Til You And Your Lover Are Lovers Again,Engelbert Humperdinck,77,77,5,5
Legal Tender,The B-52s,81,81,4,4
Don't You Get So Mad,Jeffrey Osborne,25,25,14,14
Don't Change,INXS,80,80,4,4
When You Were Mine,Mitch Ryder,87,87,4,4
Human Nature,Michael Jackson,7,7,14,14
Tip Of My Tongue,The Tubes,52,52,7,7
Sharp Dressed Man,ZZ Top,56,56,9,9
You're Driving Me Out Of My Mind,Little River Band,35,35,11,11
Lady Love Me (One More Time),George Benson,30,30,13,13
Shiny Shiny,Haysi Fantayzee,74,74,5,5
Radio Free Europe,R.E.M.,78,78,5,5
Words,F.R. David,62,62,9,9
Tell Her About It,Billy Joel,1,1,18,18
Don't Cry,Asia,10,10,13,13
Making Love Out Of Nothing At All,Air Supply,2,2,18,18
Far From Over,Frank Stallone,10,10,16,16
You Belong To Me,The Doobie Brothers,79,79,4,4
Burning Down The House,Talking Heads,9,9,18,18
Cold Blooded,Rick James,40,40,12,12
A Million Miles Away,The Plimsouls,82,82,3,3
Get It Right,Aretha Franklin,61,61,8,8
Crazy,The Manhattans,72,72,6,6
(she's) Sexy + 17,Stray Cats,5,5,15,15
Kiss The Bride,Elton John,25,25,12,12
True,Spandau Ballet,4,4,17,17
Big Log,Robert Plant,20,20,16,16
Change,Tears for Fears,73,73,6,6
Holiday Road,Lindsey Buckingham,82,82,5,5
Maybe This Day,Kissing The Pink,87,87,5,5
Tell Her No,Juice Newton,27,27,11,11
High Time,Styx,48,48,7,7
The Night,The Animals,48,48,10,10
How Can I Refuse,Heart,44,44,11,11
Miracles,Stacy Lattisaw,40,40,16,16
Rainbow's End,Sergio Mendes,52,52,8,8
I Don't Wanna Dance,Eddy Grant,53,53,7,7
Don't You Know How Much I Love You,Ronnie Milsap,58,58,7,7
Telefone (long Distance Love Affair),Sheena Easton,9,9,15,15
Someone Belonging To Someone,Bee Gees,49,49,6,6
Don't Forget To Dance,The Kinks,29,29,10,10
Ship To Shore,Chris de Burgh,71,71,5,5
Everyday I Write The Book,Elvis Costello And The Attractions,36,36,14,14
It Must Be Love,Madness,33,33,12,12
Garden Party,Herb Alpert,81,81,4,4
Do It Again/Billie Jean,Club House,75,75,5,5
Bad Boys,Wham! U.K.,60,60,9,9
"Bad, Bad Billy",Snuff,88,88,2,2
Scarlet Fever,Kenny Rogers,94,94,2,2
Freak-A-Zoid,Midnight Star,66,66,8,8
King Of Pain,The Police,3,3,14,14
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1,1,14,14
One Thing Leads To Another,The Fixx,4,4,14,14
What Am I Gonna Do (I'm So In Love With You),Rod Stewart,35,35,12,12
Can't Shake Loose,Agnetha Faltskog,29,29,14,14
Hang On Now,Kajagoogoo,78,78,4,4
Living On The Edge,Jim Capaldi,75,75,5,5
Just Be Good To Me,The S.O.S. Band,55,55,14,14
Solsbury Hill,Peter Gabriel,68,84,8,3
Sitting At The Wheel,The Moody Blues,27,27,10,10
Suddenly Last Summer,The Motels,9,9,13,13
Delirious,Prince,8,8,13,13
Unconditional Love,Donna Summer,43,43,8,8
This Time,Bryan Adams,24,24,12,12
Foolin',Def Leppard,28,28,13,13
Fight Fire With Fire,Kansas,58,58,7,7
All I Need To Know,Bette Midler,77,77,4,4
What's She Got,Liquid Gold,86,86,4,4
Take Away,Big Ric,91,91,3,3
If Anyone Falls,Stevie Nicks,14,14,12,12
Everyday People,Joan Jett & The Blackhearts,37,37,9,9
Heart And Soul,Huey Lewis & The News,8,8,12,12
Spice Of Life,The Manhattan Transfer,40,40,12,12
Rockit,Herbie Hancock,71,71,9,9
"Baby, What About You",Crystal Gayle,83,83,5,5
Trouble In Paradise,Jarreau,63,63,7,7
You Put The Beat In My Heart,Eddie Rabbitt,81,81,5,5
Just Got Lucky,Joboxers,36,36,12,12
All Night Long (All Night),Lionel Richie,1,1,11,11
Dr. Heckyll & Mr. Jive,Men at Work,28,28,11,11
Modern Love,David Bowie,14,14,11,11
Love Is A Stranger,Eurythmics,23,23,11,11
Queen Of The Broken Hearts,Loverboy,34,34,11,11
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,28,48,22,11
Only You,Commodores,54,54,11,11
Cum On Feel The Noize,Quiet Riot,5,5,11,11
Break My Stride,Matthew Wilder,37,37,11,11
A Little Good News,Anne Murray,74,74,7,7
Uptown Girl,Billy Joel,3,3,10,10
Automatic Man,Michael Sembello,34,34,10,10
Love Is A Battlefield,Pat Benatar,6,6,10,10
Tender Is The Night,Jackson Browne,25,25,10,10
Send Her My Love,Journey,23,23,10,10
Masquerade,Berlin,82,82,3,3
Major Tom (Coming Home),Peter Schilling,25,25,10,10
You Know What To Do,Carly Simon,83,83,4,4
Should I Love You,Cee Farrow,82,82,6,6
Don't Girls Get Lonely,Glenn Shorrock,69,69,6,6
Canvas Of Life,Minor Detail,92,92,2,2
Life Gets Better,Graham Parker,94,94,2,2
My Town,Michael Stanley Band,39,39,9,9
Take Another Picture,Quarterflash,58,58,6,6
Mirror Man,The Human League,30,30,9,9
The Monkey Time,The Tubes,68,68,4,4
Wherever I Lay My Hat (That's My Home),Paul Young,70,70,7,7
Four Little Diamonds,Electric Light Orchestra,86,86,2,2
Don't Try To Stop It,Roman Holliday,68,68,6,6
Ain't Nobody,Rufus And Chaka Khan,26,26,9,9
Mama,Genesis,73,73,9,9
Guns For Hire,AC/DC,84,84,5,5
Somebody's Gonna Love You,Lee Greenwood,96,96,2,2
P.Y.T. (Pretty Young Thing),Michael Jackson,10,10,8,8
How Many Times Can We Say Goodbye,Dionne Warwick & Luther Vandross,27,27,8,8
Stop Doggin' Me Around,Klique,50,50,8,8
Talking In Your Sleep,The Romantics,44,44,8,8
I Need You,The Pointer Sisters,48,48,8,8
On The Dark Side,John Cafferty & The Beaver Brown Band,64,64,8,8
Never Say Die (Give A Little Bit More),Cliff Richard,73,73,7,7
Say Say Say,Paul McCartney And Michael Jackson,2,2,7,7
Crumblin' Down,John Cougar Mellencamp,9,9,7,7
The Smile Has Left Your Eyes,Asia,34,34,7,7
Souls,Rick Springfield,29,29,7,7
Invisible Hands,Kim Carnes,40,40,7,7
Time Will Reveal,Debarge,39,39,7,7
Baby I Lied,Deborah Allen,59,59,7,7
Stay With Me Tonight,Jeffrey Osborne,50,50,7,7
Is This The End,New Edition,85,85,4,4
Church Of The Poison Mind,Culture Club,11,11,6,6
Why Me?,Irene Cara,16,16,6,6
In A Big Country,Big Country,24,24,6,6
The Way He Makes Me Feel,Barbra Streisand,43,43,6,6
When The Lights Go Out,Naked Eyes,47,47,6,6
I Am Love,Jennifer Holliday,49,49,6,6
Favorite Waste Of Time,Bette Midler,78,78,4,4
"Lady, Lady, Lady","Joe ""Bean"" Esposito",86,86,2,2
I Just Can't Walk Away,Four Tops,71,71,6,6
Caught In The Game,Survivor,77,77,5,5
I Think You'll Remember Tonight,Axe,94,94,2,2
Say It Isn't So,Daryl Hall  John Oates,7,7,5,5
I Guess That's Why They Call It The Blues,Elton John,35,35,5,5
I Won't Stand In Your Way,Stray Cats,45,45,5,5
What's New,Linda Ronstadt & The Nelson Riddle Orchestra,61,61,5,5
Lady Down On Love,Alabama,76,76,5,5
Holiday,Madonna,55,55,5,5
Lucky,Eye to Eye,88,88,2,2
No One Can Love You More Than Me,Melissa Manchester,78,78,4,4
Allies,Heart,83,83,4,4
Twist Of Fate,Olivia Newton-John,21,21,4,4
Synchronicity II,The Police,22,22,4,4
Union Of The Snake,Duran Duran,14,14,4,4
Owner Of A Lonely Heart,Yes,27,27,4,4
Allergies,Paul Simon,46,46,4,4
Joanna,Kool & The Gang,52,52,4,4
Street Of Dreams,Rainbow,68,68,4,4
Dirty Looks,Juice Newton,90,90,3,3
Undercover Of The Night,The Rolling Stones,33,33,3,3
If I'd Been The One,Thirty Eight Special,42,42,3,3
I Still Can't Get Over Loving You,Ray Parker Jr.,53,53,3,3
Magnetic,"Earth, Wind & Fire",65,65,3,3
Lick It Up,Kiss,77,77,3,3
Blue World,The Moody Blues,66,66,3,3
Let The Music Play,Shannon,70,70,3,3
I Like,Men Without Hats,84,84,3,3
All The Right Moves,Jennifer Warnes/Chris Thompson,86,86,3,3
Send Me An Angel,Real Life,81,81,3,3
Read 'Em And Weep,Barry Manilow,38,38,2,2
Gold,Spandau Ballet,58,58,2,2
You Don't Believe,The Alan Parsons Project,69,69,2,2
In The Mood,Robert Plant,67,67,2,2
State Of The Union,Industry,87,87,2,2
Tell Me If You Still Care,The S.O.S. Band,91,91,2,2
Big Crash,Eddie Money,83,83,2,2
Running With The Night,Lionel Richie,57,57,1,1
That's All,Genesis,63,63,1,1
The Sign Of Fire,The Fixx,75,75,1,1
The Flyer,Saga,82,82,1,1
This Must Be The Place (Naive Melody),Talking Heads,85,85,1,1
The Politics Of Dancing,Re-flex,89,89,1,1
Wet My Whistle,Midnight Star,90,90,1,1
Memphis,Joe Jackson,94,94,1,1
