song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Last Time,Trey Songz,69,69,13,13
Things That Never Cross A Man's Mind,Kellie Pickler,96,96,1,1
Lost,Michael Buble,97,97,1,1
Back When I Knew It All,Montgomery Gentry,56,56,18,18
What About Now,Daughtry,18,18,15,15
Praying For Time,Carrie Underwood,27,27,2,2
Shout To The Lord,American Idol Top 8,43,43,1,1
Better In Time,Leona Lewis,11,11,19,19
Many Rivers To Cross,Annie Lennox,80,80,1,1
Better As A Memory,Kenny Chesney,46,46,17,17
Home,Blake Shelton,41,41,20,20
Take A Bow,Rihanna,1,1,27,27
Handlebars,Flobots,37,37,20,20
Bye Bye,Mariah Carey,19,19,12,12
Migrate,Mariah Carey Featuring T-Pain,92,92,1,1
I'm Yours,Jason Mraz,6,6,31,31
Closer,Ne-Yo,7,7,31,31
Rise Above This,Seether,91,91,11,11
American Boy,Estelle Featuring Kanye West,9,9,30,30
Take You Down,Chris Brown,43,43,20,20
Forever,Chris Brown,2,2,30,30
Leavin',Jesse McCartney,10,10,24,24
A Milli,Lil Wayne,6,6,23,23
Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,18,18,14,14
Pork And Beans,Weezer,64,64,15,15
Mercy,Duffy,27,27,20,20
Get Silly,V.I.C.,29,29,17,17
I Like The Way She Do It,G Unit,95,95,1,1
Little Miss Obsessive,Ashlee Simpson With Tom Higgenson,96,96,1,1
I Luv Your Girl,The-Dream,20,20,20,20
Give It 2 Me,Madonna,57,57,1,1
We Made It,Busta Rhymes Featuring Linkin Park,65,65,1,1
Heaven Sent,Keyshia Cole,28,28,20,20
Sweet And Low,Augustana,88,88,1,1
There's Nothin,Sean Kingston Featuring Elan & Juelz Santana,60,60,8,8
Shut Up And Let Me Go,The Ting Tings,55,55,11,11
Dreams Collide,Colbie Caillat,96,96,1,1
Gunpowder And Lead,Miranda Lambert,52,52,17,17
Viva La Vida,Coldplay,1,1,28,28
Violet Hill,Coldplay,40,40,10,10
Move Shake Drop,DJ Laz Featuring Flo Rida & Casely,56,56,5,5
If I Never See Your Face Again,Maroon 5 Featuring Rihanna,51,51,20,20
No Matter What,T.I.,72,72,2,2
I Kissed A Girl,Katy Perry,1,1,23,23
Teenage Love Affair,Alicia Keys,54,54,16,16
Dangerous,Kardinal Offishall Featuring Akon,5,5,27,27
Get Like Me,David Banner Featuring Chris Brown,16,16,21,21
Good Time,Alan Jackson,40,40,20,20
Summertime,New Kids on the Block,36,36,13,13
Hallelujah,Kate Voegele,68,68,1,1
Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",18,18,20,20
Lucky,Jason Mraz & Colbie Caillat,82,82,1,1
The Time Of My Life,David Cook,3,3,20,20
Dream Big,David Cook,15,15,2,2
I Still Haven't Found What I'm Looking For,David Cook,22,22,2,2
The World I Know,David Cook,28,28,1,1
Imagine,David Archuleta,36,36,1,1
I Don't Want To Miss A Thing,David Cook,42,42,1,1
Billie Jean,David Cook,47,47,1,1
Don't Let The Sun Go Down On Me,David Archuleta,58,58,1,1
In This Moment,David Archuleta,60,60,1,1
Always Be My Baby,David Cook,67,67,1,1
Hello,David Cook,73,73,1,1
The Music Of The Night,David Cook,77,77,1,1
Should've Said No,Taylor Swift,33,33,20,20
That Song In My Head,Julianne Hough,88,88,6,6
Eleanor Rigby,David Cook,92,92,1,1
Girls Around The World,Lloyd Featuring Lil Wayne,64,64,14,14
Homecoming,Kanye West Featuring Chris Martin,69,69,7,7
I'm Alive,David Cook,99,99,1,1
Got Money,Lil Wayne Featuring T-Pain,10,10,25,25
Moving Mountains,Usher,67,67,9,9
When I Grow Up,The Pussycat Dolls,9,9,20,20
Game's Pain,The Game Featuring Keyshia Cole,75,75,7,7
Put A Girl In It,Brooks & Dunn,54,54,13,13
Love Is Gone,David Guetta & Chris Willis,98,98,1,1
Another Try,Josh Turner Featuring Trisha Yearwood,96,96,3,3
Put On,Young Jeezy Featuring Kanye West,12,12,20,20
Indestructible,Disturbed,72,72,1,1
Love Remains The Same,Gavin Rossdale,27,27,24,24
You Ain't Got Nuthin,Lil Wayne Featuring Juelz Santana & Fabolous,81,81,1,1
7 Things,Miley Cyrus,9,9,15,15
Lookin Boy,Hot Stylz Featuring Yung Joc,47,47,11,11
Mr. Carter,Lil Wayne Featuring Jay-Z,62,62,17,17
Buzzin',Shwayze Featuring Cisco Adler,46,46,5,5
That's What You Get,Paramore,66,66,17,17
3 Peat,Lil Wayne,66,66,1,1
Body On Me,Nelly Featuring Ashanti & Akon,42,42,15,15
Fall For You,Secondhand Serenade,21,21,23,23
Magic,Robin Thicke,59,59,17,17
Coconut Juice,Tyga Featuring Travis McCoy,94,94,1,1
Never Would Have Made It,Marvin Sapp,82,82,13,13
Addicted,Saving Abel,20,20,23,23
I Still Miss You,Keith Anderson,48,48,19,19
This Is Me,Demi Lovato & Joe Jonas,9,9,7,7
Disturbia,Rihanna,1,1,22,22
Play My Music,Jonas Brothers,20,20,5,5
Gotta Find You,Joe Jonas,30,30,3,3
We Rock,Cast Of Camp Rock,33,33,3,3
In The Ayer,Flo Rida Featuring will.i.am,9,9,21,21
Hot N Cold,Katy Perry,3,3,16,16
All I Want To Do,Sugarland,18,18,16,16
You Look Good In My Shirt,Keith Urban,44,44,17,17
Lost!,Coldplay With Jay-Z,94,94,2,2
Burnin' Up,Jonas Brothers,5,5,16,16
Life In A Northern Town,Sugarland Featuring Little Big Town & Jake Owen,43,43,3,3
Come On Over,Jessica Simpson,65,65,7,7
One Step At A Time,Jordin Sparks,17,17,21,21
Thunder,Boys Like Girls,76,76,13,13
Bartender Song,Rehab,64,64,20,20
Believe,Staind,83,83,3,3
Here I Am,Rick Ross Featuring Nelly & Avery Storm,41,41,14,14
Out Here Grindin,"DJ Khaled Featuring Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",38,38,15,15
Free Fallin',John Mayer,51,51,10,10
All Summer Long,Kid Rock,23,23,20,20
Sneakernight,Vanessa Hudgens,88,88,1,1
Holler Back,The Lost Trailers,66,66,13,13
She Never Cried In Front Of Me,Toby Keith,42,42,19,19
The Business,Yung Berg Featuring Casha,33,33,14,14
Stepped On My J'z,Nelly Featuring Ciara & JD,90,90,1,1
Don't Think I Don't Think About It,Darius Rucker,35,35,19,19
Check Yes Juliet (Run Baby Run),We the Kings,70,70,11,11
Johnny & June,Heidi Newfield,58,58,15,15
Learning How To Bend,Gary Allan,96,96,4,4
Troubadour,George Strait,54,54,15,15
Waitin' On A Woman,Brad Paisley,44,44,19,19
I'll Be Lovin' U Long Time,Mariah Carey,58,58,8,8
Pushin' Me Away,Jonas Brothers,16,16,2,2
Paper Planes,M.I.A.,4,4,18,18
Need U Bad,Jazmine Sullivan,37,37,18,18
Do You Believe Me Now,Jimmy Wayne,36,36,18,18
Hero,Nas Featuring Keri Hilson,97,97,1,1
Corona And Lime,Shwayze,23,23,8,8
Breakout,Miley Cyrus,56,56,4,4
Please Excuse My Hands,Plies Featuring Jamie Foxx & The-Dream,66,66,12,12
Spotlight,Jennifer Hudson,24,24,17,17
Baby,LL Cool J Featuring The-Dream,52,52,11,11
Mamma Mia,Meryl Streep,99,99,1,1
Tonight,Jonas Brothers,8,8,2,2
Can't Believe It,T-Pain Featuring Lil Wayne,7,7,16,16
Just Dance,Lady Gaga Featuring Colby O'Donis,16,16,15,15
Swing,Savage Featuring Soulja Boy Tell'em,45,45,16,16
A Little Bit Longer,Jonas Brothers,11,11,1,1
My Life,The Game Featuring Lil Wayne,21,21,15,15
Marco Polo,Bow Wow Featuring Soulja Boy Tell'em,66,66,3,3
What If It All Goes Right,Melissa Lawson,79,79,1,1
Energy,Keri Hilson,78,78,9,9
Shattered (Turn The Car Around),O.A.R.,40,40,15,15
Just A Dream,Carrie Underwood,29,29,15,15
Whatever You Like,T.I.,1,1,15,15
Crush,David Archuleta,2,2,14,14
Change,Taylor Swift,10,10,3,3
Dreamer,Chris Brown,16,16,2,2
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,41,41,14,14
Get Back,Demi Lovato,43,43,6,6
All Summer Long,Hit Masters,19,19,5,5
BB Good,Jonas Brothers,88,88,1,1
Real,Goo Goo Dolls,92,92,1,1
Cry For You,September,74,74,10,10
Warrior,Nelly,96,96,1,1
Something Special,Colbie Caillat,98,98,1,1
So What,P!nk,1,1,13,13
The Day That Never Comes,Metallica,31,31,10,10
American Boy,Studio All-Stars,52,52,3,3
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,16,16,13,13
Miss Independent,Ne-Yo,8,8,13,13
What Them Girls Like,Ludacris Co-Starring Chris Brown & Sean Garrett,33,33,12,12
Swing Ya Rag,T.I. Featuring Swizz Beatz,62,62,2,2
My Apocalypse,Metallica,67,67,1,1
Just Stand Up!,Artists Stand Up To Cancer,11,11,4,4
Let It Rock,Kevin Rudolf Featuring Lil Wayne,5,5,12,12
Come On Get Higher,Matt Nathanson,63,63,12,12
So Fly,Slim Featuring Yung Joc,49,49,12,12
Cookie Jar,Gym Class Heroes Featuring The-Dream,59,59,5,5
Cyanide,Metallica,50,50,1,1
"What Up, What's Haapnin'",T.I.,84,84,1,1
T-Shirt,Shontelle,36,36,11,11
Now Or Never,High School Musical 3 Cast,68,68,3,3
Green Light,John Legend Featuring Andre 3000,31,31,11,11
No Me Doy Por Vencido,Luis Fonsi,92,92,6,6
Country Man,Luke Bryan,74,74,9,9
Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,5,5,10,10
Love Story,Taylor Swift,5,5,10,10
I Don't Care,Fall Out Boy,21,21,10,10
I'd Rather Be With You,Joshua Radin,82,82,2,2
Right Here (Departed),Brandy,52,52,10,10
Lovebug,Jonas Brothers,57,57,10,10
Roll With Me,Montgomery Gentry,44,44,10,10
Superwoman,Alicia Keys,82,82,7,7
Bad Girlfriend,Theory Of A Deadman,75,75,8,8
Let It Go,Tim McGraw,56,56,10,10
Love Lockdown,Kanye West,3,3,9,9
All Summer Long,The Rock Heroes,29,29,9,9
Chicken Fried,Zac Brown Band,22,22,9,9
Go Hard,DJ Khaled Featuring Kanye West & T-Pain,69,69,1,1
Angel,Natasha Bedingfield,63,63,8,8
Right Now (Na Na Na),Akon,8,8,8,8
Ready For Whatever,T.I.,57,57,1,1
Krazy,Pitbull Featuring Lil Jon,30,30,8,8
Don't Forget,Demi Lovato,68,68,1,1
